Symbol,Price Level,Note,Foreground Color,Background Color,Gamma,spread,,data,,Note,values,,future,index,
@ES#@IQFEED,4487,CW / 79.24M,#ffffff,#990099,Call,37,,4450,,CW / ,79.24M,,"4,438.00",4398.95,40
@ES#@IQFEED,4537,LC1 / 72.1M,#ffffff,#990099,Call,,,4500,,LC1 / ,72.1M,,,,
@ES#@IQFEED,4512,LC2 / 45.58M,#ffffff,#990099,Call,,,4475,,LC2 / ,45.58M,,,,
@ES#@IQFEED,4472,LC3 / 25.64M,#ffffff,#990099,Call,,,4435,,LC3 / ,25.64M,,,,
@ES#@IQFEED,4462,LC4 / 24.86M,#ffffff,#990099,Call,,,4425,,LC4 / ,24.86M,,,,
@ES#@IQFEED,4387,PW / 34.52M,#ffffff,#990099,Put,,,4350,,PW / ,34.52M,,,,
@ES#@IQFEED,4397,LP1 / 29.71M,#ffffff,#990099,Put,,,4360,,LP1 / ,29.71M,,,,
@ES#@IQFEED,4382,LP2 / 25.17M,#ffffff,#990099,Put,,,4345,,LP2 / ,25.17M,,,,
@ES#@IQFEED,4337,LP3 / 23.65M,#ffffff,#990099,Put,,,4300,,LP3 / ,23.65M,,,,
@ES#@IQFEED,4437,LP4 / 22.38M,#ffffff,#990099,Put,,,4400,,LP4 / ,22.38M,,,,
@ES#@IQFEED,4444,ZF,#ffffff,#990099,Zero Gamma,,,4407,,ZF,,,,,
@ES#@IQFEED,4447,VF,#ffffff,#990099,Vol Trigger,,,4410,,VF,,,,,
@ES#@IQFEED,4484,HEM,#ffffff,#990099,Dhem,,,4447,,HEM,,,,,
@ES#@IQFEED,4413,LEM,#ffffff,#990099,Dlem,,,4376,,LEM,,,,,
,,,,,,,,,,,,,,,
@ES#@IQFEED,4472,CW(SPY) / 140.81M,#ffffff,#990099,,,,4435,,CW(SPY) / ,140.81M,,,,
@ES#@IQFEED,4552,LC1(SPY) / 112.87M,#ffffff,#990099,,,,4515,,LC1(SPY) / ,112.87M,,,,
@ES#@IQFEED,4502,LC2(SPY) / 104.25M,#ffffff,#990099,,,,4465,,LC2(SPY) / ,104.25M,,,,
@ES#@IQFEED,4452,LC3(SPY) / 93.95M,#ffffff,#990099,,,,4415,,LC3(SPY) / ,93.95M,,,,
@ES#@IQFEED,4492,LC4(SPY) / 74.66M,#ffffff,#990099,,,,4455,,LC4(SPY) / ,74.66M,,,,
@ES#@IQFEED,4352,PW(SPY) / 102.23M,#ffffff,#990099,,,,4315,,PW(SPY) / ,102.23M,,,,
@ES#@IQFEED,4402,LP1(SPY) / 99.19M,#ffffff,#990099,,,,4365,,LP1(SPY) / ,99.19M,,,,
@ES#@IQFEED,4422,LP2(SPY) / 91.91M,#ffffff,#990099,,,,4385,,LP2(SPY) / ,91.91M,,,,
@ES#@IQFEED,4432,LP3(SPY) / 81.26M,#ffffff,#990099,,,,4395,,LP3(SPY) / ,81.26M,,,,
@ES#@IQFEED,4392,LP4(SPY) / 77.61M,#ffffff,#990099,,,,4355,,LP4(SPY) / ,77.61M,,,,
,4452,ZF(SPY) ,#ffffff,#990099,,,,4415,,ZF(SPY) ,,,,,
@ES#@IQFEED,4442,VF(SPY) ,#ffffff,#990099,,,,4405,,VF(SPY) ,,,,,
@ES#@IQFEED,4482,HEM(SPY) ,#ffffff,#990099,,,,4445,,HEM(SPY) ,,,,,
@ES#@IQFEED,4412,LEM(SPY) ,#ffffff,#990099,,,,4375,,LEM(SPY) ,,,,,
,,,,,,,,,,,,,,,
@ES#@IQFEED,4487,CW(0dte) / 22.63M,#ffffff,#990099,,,,4450,,CW(0dte) / ,22.63M,,,,
@ES#@IQFEED,4477,LC1(0dte) / 10.35M,#ffffff,#990099,,,,4440,,LC1(0dte) / ,10.35M,,,,
@ES#@IQFEED,4492,LC2(0dte) / 9.3M,#ffffff,#990099,,,,4455,,LC2(0dte) / ,9.3M,,,,
,4472,LC3(0dte) / 9.3M,#ffffff,#990099,,,,4435,,LC3(0dte) / ,9.3M,,,,
,4497,LC4(0dte) / 7.91M,#ffffff,#990099,,,,4460,,LC4(0dte) / ,7.91M,,,,
@ES#@IQFEED,4437,PW(0dte) / 29.22M,#ffffff,#990099,,,,4400,,PW(0dte) / ,29.22M,,,,
@ES#@IQFEED,4432,LP1(0dte) / 11.41M,#ffffff,#990099,,,,4395,,LP1(0dte) / ,11.41M,,,,
@ES#@IQFEED,4387,LP2(0dte) / 10.96M,#ffffff,#990099,,,,4350,,LP2(0dte) / ,10.96M,,,,
,4427,LP3(0dte) / 9.62M,#ffffff,#990099,,,,4390,,LP3(0dte) / ,9.62M,,,,
,4417,LP4(0dte) / 9.33M,#ffffff,#990099,,,,4380,,LP4(0dte) / ,9.33M,,,,
@ES#@IQFEED,4447,VF(0dte),#ffffff,#990099,,,,4410,,VF(0dte),,,,,
