Symbol,Price Level,Note,Foreground Color,Background Color,,spread,,data,,Note,values,,future,index,
@ES#@IQFEED,4487,CW / 79.24M,#ffffff,#990099,,37,,4450,,CW / ,79.24M,,"4,438.00",4398.95,40
@ES#@IQFEED,4537,LC1 / 72.1M,#ffffff,#990099,,,,4500,,LC1 / ,72.1M,,,,
@ES#@IQFEED,4512,LC2 / 45.58M,#ffffff,#990099,,,,4475,,LC2 / ,45.58M,,,,
@ES#@IQFEED,4472,LC3 / 25.64M,#ffffff,#990099,,,,4435,,LC3 / ,25.64M,,,,
@ES#@IQFEED,4462,LC4 / 24.86M,#ffffff,#990099,,,,4425,,LC4 / ,24.86M,,,,
@ES#@IQFEED,4387,PW / 34.52M,#ffffff,#990099,,,,4350,,PW / ,34.52M,,,,
@ES#@IQFEED,4397,LP1 / 29.71M,#ffffff,#990099,,,,4360,,LP1 / ,29.71M,,,,
@ES#@IQFEED,4382,LP2 / 25.17M,#ffffff,#990099,,,,4345,,LP2 / ,25.17M,,,,
@ES#@IQFEED,4337,LP3 / 23.65M,#ffffff,#990099,,,,4300,,LP3 / ,23.65M,,,,
@ES#@IQFEED,4437,LP4 / 22.38M,#ffffff,#990099,,,,4400,,LP4 / ,22.38M,,,,
@ES#@IQFEED,4444,ZF,#ffffff,#990099,,,,4407,,ZF,,,,,
@ES#@IQFEED,4447,VF,#ffffff,#990099,,,,4410,,VF,,,,,
@ES#@IQFEED,4484,HEM,#ffffff,#990099,,,,4447,,HEM,,,,,
@ES#@IQFEED,4413,LEM,#ffffff,#990099,,,,4376,,LEM,,,,,
