Symbol,Price Level,Note,Foreground Color,Background Color,Data,Notes,Values,,spread,
@ES#@IQFEED,4626,CW / 113.76M,#ffffff,#990099,4600,CW / ,113.76M,,26,ES
@ES#@IQFEED,4676,LC1 / 80.3M,#ffffff,#990099,4650,LC1 / ,80.3M,,105,NQ
@ES#@IQFEED,4636,LC2 / 57.45M,#ffffff,#990099,4610,LC2 / ,57.45M,,,
@ES#@IQFEED,4641,LC3 / 56.28M,#ffffff,#990099,4615,LC3 / ,56.28M,,,
@ES#@IQFEED,4651,LC4 / 51.26M,#ffffff,#990099,4625,LC4 / ,51.26M,,,
@ES#@IQFEED,4591,PW / 25.61M,#ffffff,#990099,4565,PW / ,25.61M,,,
@ES#@IQFEED,4526,LP1 / 17.55M,#ffffff,#990099,4500,LP1 / ,17.55M,,,
@ES#@IQFEED,4476,LP2 / 11.39M,#ffffff,#990099,4450,LP2 / ,11.39M,,,
@ES#@IQFEED,4426,LP3 / 9.22M,#ffffff,#990099,4400,LP3 / ,9.22M,,,
@ES#@IQFEED,4566,LP4 / 8.22M,#ffffff,#990099,4540,LP4 / ,8.22M,,,
@ES#@IQFEED,4588,ZF,#ffffff,#990099,4562,ZF,,,,
@ES#@IQFEED,4596,VF,#ffffff,#990099,4570,VF,,,,
@ES#@IQFEED,4640,HEM,#ffffff,#990099,4614,HEM,,,,
@ES#@IQFEED,4576,LEM,#ffffff,#990099,4550,LEM,,,,
,,,,,,,,,,
,4626,CW(0dte) / 43.83M,#ffffff,#990099,4600,CW(0dte) / ,43.83M,,,
,4636,LC1(0dte) / 29.23M,#ffffff,#990099,4610,LC1(0dte) / ,29.23M,,,
,4641,LC2(0dte) / 25.24M,#ffffff,#990099,4615,LC2(0dte) / ,25.24M,,,
,4621,LC3(0dte) / 23.12M,#ffffff,#990099,4595,LC3(0dte) / ,23.12M,,,
,4631,LC4(0dte) / 17.38M,#ffffff,#990099,4605,LC4(0dte) / ,17.38M,,,
,4591,PW(0dte) / 19.49M,#ffffff,#990099,4565,PW(0dte) / ,19.49M,,,
,4586,LP1(0dte) / 12.71M,#ffffff,#990099,4560,LP1(0dte) / ,12.71M,,,
,4596,LP2(0dte) / 7.58M,#ffffff,#990099,4570,LP2(0dte) / ,7.58M,,,
,4536,LP3(0dte) / 5.41M,#ffffff,#990099,4510,LP3(0dte) / ,5.41M,,,
,4581,LP4(0dte) / 2.9M,#ffffff,#990099,4555,LP4(0dte) / ,2.9M,,,
,4596,VF(0dte),#ffffff,#990099,4570,VF(0dte),,,,
,,,,,,,,,,
,4639,CW(SPY) / 178.05M,#ffffff,#990099,4613,CW(SPY) / ,178.05M,,,
,4599,LC1(SPY) / 117.7M,#ffffff,#990099,4573,LC1(SPY) / ,117.7M,,,
,4619,LC2(SPY) / 112.8M,#ffffff,#990099,4593,LC2(SPY) / ,112.8M,,,
,4609,LC3(SPY) / 105.71M,#ffffff,#990099,4583,LC3(SPY) / ,105.71M,,,
,4589,LC4(SPY) / 82.68M,#ffffff,#990099,4563,LC4(SPY) / ,82.68M,,,
,4539,PW(SPY) / 172.85M,#ffffff,#990099,4513,PW(SPY) / ,172.85M,,,
,4529,LP1(SPY) / 97.81M,#ffffff,#990099,4503,LP1(SPY) / ,97.81M,,,
,4569,LP2(SPY) / 83.52M,#ffffff,#990099,4543,LP2(SPY) / ,83.52M,,,
,4559,LP3(SPY) / 69.5M,#ffffff,#990099,4533,LP3(SPY) / ,69.5M,,,
,4489,LP4(SPY) / 26.4M,#ffffff,#990099,4463,LP4(SPY) / ,26.4M,,,
,4585,ZF(SPY),#ffffff,#990099,4559,ZF(SPY),,,,
,4569,VF(SPY),#ffffff,#990099,4543,VF(SPY),,,,
,4619,HEM(SPY),#ffffff,#990099,4593,HEM(SPY),,,,
,4549,LEM(SPY),#ffffff,#990099,4523,LEM(SPY),,,,
