Symbol,Price Level,Note,Foreground Color,Background Color,Data,Notes,Values,,spread,,NDX
@ES#@IQFEED,4625,CallWall / 51.22M,#ffffff,#990099,4600,CallWall / ,51.22M,,25,ES,#NAME?
@ES#@IQFEED,4650,LC1 / 38.99M,#ffffff,#990099,4625,LC1 / ,38.99M,,100,NQ,
@ES#@IQFEED,4675,LC2 / 35.54M,#ffffff,#990099,4650,LC2 / ,35.54M,,,,
@ES#@IQFEED,4615,LC3 / 30.15M,#ffffff,#990099,4590,LC3 / ,30.15M,,,,
@ES#@IQFEED,4725,LC4 / 19.03M,#ffffff,#990099,4700,LC4 / ,19.03M,,,,
@ES#@IQFEED,4525,PutWall / 69.38M,#ffffff,#990099,4500,PutWall / ,69.38M,,,,
@ES#@IQFEED,4575,LP1 / 63.26M,#ffffff,#990099,4550,LP1 / ,63.26M,,,,
@ES#@IQFEED,4500,LP2 / 36.7M,#ffffff,#990099,4475,LP2 / ,36.7M,,,,
@ES#@IQFEED,4555,LP3 / 35.06M,#ffffff,#990099,4530,LP3 / ,35.06M,,,,
@ES#@IQFEED,4515,LP4 / 32.22M,#ffffff,#990099,4490,LP4 / ,32.22M,,,,
@ES#@IQFEED,4588,Zero Flip,#ffffff,#990099,4563,Zero Flip,,,,,
@ES#@IQFEED,4595,VolFlip,#ffffff,#990099,4570,VolFlip,,,,,
@ES#@IQFEED,4635,HEM,#ffffff,#990099,4610,HEM,,,,,
@ES#@IQFEED,4568,LEM,#ffffff,#990099,4543,LEM,,,,,
,,,,,,,,,,,
@ES#@IQFEED,4625,CallWall(0dte) / 1.95M,#ffffff,#990099,4600,CallWall(0dte) / ,1.95M,,,,
,4630,LC1(0dte) / 1.1M,#ffffff,#990099,4605,LC1(0dte) / ,1.1M,,,,
,4615,LC2(0dte) / 678.14K,#ffffff,#990099,4590,LC2(0dte) / ,678.14K,,,,
,4610,LC3(0dte) / 515.86K,#ffffff,#990099,4585,LC3(0dte) / ,515.86K,,,,
,4620,LC4(0dte) / 402.08K,#ffffff,#990099,4595,LC4(0dte) / ,402.08K,,,,
@ES#@IQFEED,4555,PutWall(0dte) / 22.83M,#ffffff,#990099,4530,PutWall(0dte) / ,22.83M,,,,
,4535,LP1(0dte) / 21.61M,#ffffff,#990099,4510,LP1(0dte) / ,21.61M,,,,
,4550,LP2(0dte) / 20.24M,#ffffff,#990099,4525,LP2(0dte) / ,20.24M,,,,
,4575,LP3(0dte) / 18.41M,#ffffff,#990099,4550,LP3(0dte) / ,18.41M,,,,
,4565,LP4(0dte) / 17.44M,#ffffff,#990099,4540,LP4(0dte) / ,17.44M,,,,
@ES#@IQFEED,4600,VolFlip(0dte),#ffffff,#990099,4575,VolFlip(0dte),,,,,
,,,,,,,,,,,
@ES#@IQFEED,4657,ETF CallWall / 138.87M,#ffffff,#990099,4632,ETF CallWall / ,138.87M,,,,
@ES#@IQFEED,4637,ETF LC1 / 73.94M,#ffffff,#990099,4612,ETF LC1 / ,73.94M,,,,
@ES#@IQFEED,4607,ETF LC2 / 29.34M,#ffffff,#990099,4582,ETF LC2 / ,29.34M,,,,
@ES#@IQFEED,4687,ETF LC3 / 28.82M,#ffffff,#990099,4662,ETF LC3 / ,28.82M,,,,
@ES#@IQFEED,4647,ETF LC4 / 28.48M,#ffffff,#990099,4622,ETF LC4 / ,28.48M,,,,
@ES#@IQFEED,4537,ETF PutWall / 400.66M,#ffffff,#990099,4512,ETF PutWall / ,400.66M,,,,
@ES#@IQFEED,4567,ETF LP1 / 243.78M,#ffffff,#990099,4542,ETF LP1 / ,243.78M,,,,
@ES#@IQFEED,4527,ETF LP2 / 176.58M,#ffffff,#990099,4502,ETF LP2 / ,176.58M,,,,
@ES#@IQFEED,4557,ETF LP3 / 159.73M,#ffffff,#990099,4532,ETF LP3 / ,159.73M,,,,
@ES#@IQFEED,4487,ETF LP4 / 121.4M,#ffffff,#990099,4462,ETF LP4 / ,121.4M,,,,
,4606,ETF Zero Flip,#ffffff,#990099,4581,ETF Zero Flip,,,,,
,4597,ETF VolFlip,#ffffff,#990099,4572,ETF VolFlip,,,,,
,4637,ETF HEM,#ffffff,#990099,4612,ETF HEM,,,,,
,4567,ETF LEM,#ffffff,#990099,4542,ETF LEM,,,,,
